Feature Name,Category,Raw Source,Original Variable,Extraction Function,Aggregation,Formula,Uses Group Label?,Uses Participant Metadata?,Real/Synthetic Status,Notes
mean_reaction_time_ms,reaction time,Task_epoch.RTime,RTime,dataset.parse_mat.extract_subject_features,Mean of RT > 0,mean(RT[RT > 0]),No,No,SYNTHETIC,"rt_mean Control=600ms, ADHD=750ms"
median_reaction_time_ms,reaction time,Task_epoch.RTime,RTime,dataset.parse_mat.extract_subject_features,Median of RT > 0,median(RT[RT > 0]),No,No,SYNTHETIC,"rt_mean Control=600ms, ADHD=750ms"
rt_variability,reaction time,Task_epoch.RTime,RTime,dataset.parse_mat.extract_subject_features,Standard Deviation of RT > 0,std(RT[RT > 0]),No,No,SYNTHETIC,"rt_sd Control=100ms, ADHD=160ms"
rt_coefficient_of_variation,reaction time,Task_epoch.RTime,RTime,dataset.parse_mat.extract_subject_features,SD divided by Mean,std(RT[RT > 0]) / mean(RT[RT > 0]),No,No,SYNTHETIC,"Control CV ≈ 0.166, ADHD CV ≈ 0.213"
accuracy_overall,behavioral,Task_epoch.Perform,Perform,dataset.parse_mat.extract_subject_features,Mean accuracy,mean(Perform),No,No,SYNTHETIC,"Accuracy rates: Control load1/2=0.90/0.80, ADHD load1/2=0.78/0.64"
accuracy_by_load_diff,behavioral,"Task_epoch.Perform, Task_epoch.Load","Perform, Load",dataset.parse_mat.extract_subject_features,Accuracy diff between Load 1 and Load 2,mean(Perform[Load==1]) - mean(Perform[Load==2]),No,No,SYNTHETIC,Working memory load difference baseline
accuracy_by_distractor_diff,behavioral,"Task_epoch.Perform, Task_epoch.Distractor","Perform, Distractor",dataset.parse_mat.extract_subject_features,Accuracy diff between none and emotional distractors,mean(Perform[Dist==none]) - mean(Perform[Dist==emotional]),No,No,SYNTHETIC,Distractor interference baseline
mean_fixation_stability,gaze,Task_data.Position,Position,dataset.parse_mat.extract_subject_features,Gaze SD during fixation phase,mean_over_trials(sqrt(var(gaze_x) + var(gaze_y))),No,No,SYNTHETIC,"Gaze position SD Control=1.2, ADHD=4.8"
mean_pupil_proxy,pupil,Task_epoch.Pupil,Pupil,dataset.parse_mat.extract_subject_features,Mean of trial-level pupil sizes,mean(trial_pupil),No,No,SYNTHETIC,"Randomly generated Normal(0, 1) trace"
omission_rate,behavioral,Task_epoch.RTime,RTime,dataset.parse_mat.extract_subject_features,Ratio of trials with no response,count(RT <= 0 or RT >= 1500) / total_trials,No,No,SYNTHETIC,Timeout rate
false_alarm_rate,behavioral,"Task_epoch.Perform, Task_epoch.CorrResponse","Perform, CorrResponse",dataset.parse_mat.extract_subject_features,Ratio of false alarms,false_alarms / lures_present,No,No,SYNTHETIC,Incorrect YES responses
hit_rate,behavioral,"Task_epoch.Perform, Task_epoch.CorrResponse","Perform, CorrResponse",dataset.parse_mat.extract_subject_features,Ratio of hits,hits / targets_present,No,No,SYNTHETIC,Correct YES responses
